folio_integrante;edad;ponderador;grupo;resultado_general_entrevista;region_Centro;region_Centro Norte;region_Frontera;region_Pacifico-Norte;region_Pacífico Sur;region_Pacífico-Centro;region_Península;sexo_Mujer;estrato_Rural  ( <2500 Hab );estrato_Urbano ( 2500-99,999 Hab)
2022_02004003_03;18;31102.3713124471;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_02004022_01;30;71236.8176560446;Adolescentes y Adultos;1;False;False;False;True;False;False;False;False;False;False
2022_02004035_03;26;135950.745984548;Adolescentes y Adultos;1;False;False;False;True;False;False;False;False;False;False
2022_02004082_01;43;170609.365360294;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_02004100_04;60;157998.200080252;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_03003005_01;21;15626.3693953359;Adolescentes y Adultos;1;False;False;False;True;False;False;False;False;False;False
2022_03003014_04;16;8745.55063078552;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_03003036_02;26;14323.508094045;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_03003039_03;46;19811.3433087482;Adolescentes y Adultos;1;False;False;False;True;False;False;False;False;False;False
2022_03003042_06;12;16949.6622271904;Adolescentes y Adultos;1;False;False;False;True;False;False;False;False;False;False
2022_03003045_02;31;24407.4438721816;Adolescentes y Adultos;1;False;False;False;True;False;False;False;False;False;False
2022_03003081_01;19;36369.9612464755;Adolescentes y Adultos;1;False;False;False;True;False;False;False;False;False;False
2022_03003082_01;68;14170.1503884822;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_03003087_01;40;91101.3111059653;Adolescentes y Adultos;1;False;False;False;True;False;False;False;False;False;False
2022_03003098_01;66;11613.2406055835;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_03003100_02;36;9721.18540432522;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_03003104_01;32;26345.1800578381;Adolescentes y Adultos;0;False;False;False;True;False;False;False;False;False;False
2022_03003107_02;69;17105.4199307308;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_03003107_03;24;26345.1800578381;Adolescentes y Adultos;1;False;False;False;True;False;False;False;False;False;False
2022_03003112_01;47;11613.2406055835;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_03003151_07;20;53269.5450905947;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;True
2022_03008054_04;19;28681.5538251407;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_03008091_03;13;8745.55063078552;Adolescentes y Adultos;1;False;False;False;True;False;False;False;True;False;False
2022_04001035_01;28;45538.628200299;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;False;True
2022_04001039_04;17;61225.3623457001;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;True
2022_04001044_05;12;44814.1178297755;Adolescentes y Adultos;0;False;False;False;False;False;False;True;False;False;True
2022_04002033_02;26;167987.231848757;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;False;False
2022_04002078_04;18;76054.6068977208;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;False
2022_04002113_02;43;87121.4397850781;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;False;False
2022_04002113_03;13;31126.4887128795;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;False;False
2022_04002117_02;42;161284.062783813;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;False
2022_04002120_01;47;21979.1153611521;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;True;False
2022_04002132_02;66;21079.5080805274;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;True;False
2022_04002141_05;13;29200.7188428562;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;True;False
2022_04002143_02;37;20781.3478204367;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;True;False
2022_04002160_02;28;19836.4728234218;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;True;False
2022_04002162_01;69;12001.6952324862;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;True;False
2022_04002185_03;13;28736.9668903079;Adolescentes y Adultos;0;False;False;False;False;False;False;True;True;True;False
2022_04002186_04;12;57473.9337806157;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;True;False
2022_04002190_01;59;11828.3981029054;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;True;False
2022_04002192_02;16;28365.8668976615;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;True;False
2022_04004010_02;26;49910.9269927609;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;False;True
2022_04004012_01;33;14103.4287990114;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;True
2022_04004018_01;77;26816.9441221286;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;False;True
2022_04008007_03;18;18525.7650649663;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;False;True
2022_04008009_02;55;11895.5605304362;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;True
2022_04008017_01;36;25480.358790896;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;False;True
2022_04008033_02;46;15306.3683142211;Adolescentes y Adultos;1;False;False;False;False;False;False;True;True;False;True
2022_04008036_01;53;14503.628734993;Adolescentes y Adultos;1;False;False;False;False;False;False;True;False;False;True
2022_05002005_04;14;111676.619820879;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;False
2022_05002020_02;31;191393.520707485;Adolescentes y Adultos;1;False;False;True;False;False;False;False;True;False;False
2022_05017003_03;25;99462.6243445797;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;True
2022_05017027_02;20;95299.8470980154;Adolescentes y Adultos;1;False;False;True;False;False;False;False;False;False;True
