edad;ponderador;resultado_general_entrevista;balance_dqi;moderation_dqi;variety_dqi;dqi_food_groups;dqi_protein_sources;dqi_adecuacy;dqi_total;region;estrato;sexo;edad_rango
24;0.00037004904888223486;1;0;0;20;15;5;34;54;Pacifico-Norte;Rural  ( <2500 Hab );Hombre;18 - 24
47;0.0001631216272237304;1;2;18;7;6;1;29;56;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;35 - 49
20;0.0007482334321453674;1;0;9;14;9;5;25;48;Pacifico-Norte;Urbano ( 2500-99,999 Hab);Mujer;18 - 24
19;0.0004028661671758146;1;0;12;11;6;5;19;42;Pacifico-Norte;Rural  ( <2500 Hab );Mujer;18 - 24
28;0.0006396436090368937;1;0;18;20;15;5;30;68;Península;Urbano ( 2500-99,999 Hab);Hombre;25 - 34
26;0.002359578307436824;1;0;12;9;6;3;24;45;Península;Rural  ( <2500 Hab );Hombre;25 - 34
18;0.0010682764317353976;1;2;18;3;3;0;20;43;Península;Rural  ( <2500 Hab );Mujer;18 - 24
43;0.0012237231197107486;1;0;15;17;12;5;34;66;Península;Rural  ( <2500 Hab );Hombre;35 - 49
42;0.002265424411675487;1;0;6;20;15;5;37;63;Península;Rural  ( <2500 Hab );Mujer;35 - 49
47;0.0003087225335644443;1;0;18;7;6;1;25;50;Península;Rural  ( <2500 Hab );Hombre;35 - 49
37;0.00029189847928769706;1;0;6;20;15;5;34;60;Península;Rural  ( <2500 Hab );Hombre;35 - 49
28;0.0002786265983140105;1;0;6;17;12;5;30;53;Península;Rural  ( <2500 Hab );Mujer;25 - 34
59;0.00016614376740531415;1;0;12;17;12;5;28;57;Península;Rural  ( <2500 Hab );Hombre;50 - 65
26;0.0007010576895642385;1;0;18;3;3;0;16;37;Península;Urbano ( 2500-99,999 Hab);Hombre;25 - 34
33;0.00019809925009412743;1;0;0;20;15;5;37;57;Península;Urbano ( 2500-99,999 Hab);Mujer;25 - 34
18;0.00026021616580551376;1;0;18;9;6;3;27;54;Península;Urbano ( 2500-99,999 Hab);Hombre;18 - 24
55;0.0001670871427162375;1;0;15;17;12;5;28;60;Península;Urbano ( 2500-99,999 Hab);Mujer;50 - 65
36;0.00035790161673022563;1;0;15;9;9;0;23;47;Península;Urbano ( 2500-99,999 Hab);Hombre;35 - 49
46;0.0002149959508374487;1;0;18;6;6;0;22;46;Península;Urbano ( 2500-99,999 Hab);Mujer;35 - 49
53;0.00020372052902817146;1;0;6;17;12;5;35;58;Península;Urbano ( 2500-99,999 Hab);Hombre;50 - 65
31;0.002688347171837059;1;2;18;10;9;1;20;50;Frontera;Rural  ( <2500 Hab );Mujer;25 - 34
25;0.001397069576189606;1;0;0;20;15;5;36;56;Frontera;Urbano ( 2500-99,999 Hab);Hombre;25 - 34
20;0.0013385984722754224;1;0;0;14;9;5;29;43;Frontera;Urbano ( 2500-99,999 Hab);Hombre;18 - 24
42;0.0015943344168119847;1;0;9;17;12;5;27;53;Frontera;Urbano ( 2500-99,999 Hab);Mujer;35 - 49
52;0.00030943726711510106;1;0;18;12;9;3;18;48;Frontera;Rural  ( <2500 Hab );Mujer;50 - 65
22;0.0005670489864469342;1;0;9;17;12;5;28;54;Frontera;Rural  ( <2500 Hab );Hombre;18 - 24
34;0.0010618810617058234;1;0;12;20;15;5;29;61;Frontera;Rural  ( <2500 Hab );Hombre;25 - 34
20;0.001903220609352598;1;0;12;14;9;5;25;51;Frontera;Rural  ( <2500 Hab );Mujer;18 - 24
31;0.0026311844830992563;1;0;9;17;12;5;29;55;Frontera;Rural  ( <2500 Hab );Hombre;25 - 34
30;0.0022266490449344293;1;0;18;9;9;0;26;53;Frontera;Rural  ( <2500 Hab );Hombre;25 - 34
54;0.0017940782265063904;1;0;3;17;12;5;31;51;Frontera;Rural  ( <2500 Hab );Hombre;50 - 65
41;0.0011978736101291507;1;2;9;18;15;3;37;66;Frontera;Rural  ( <2500 Hab );Hombre;35 - 49
60;0.0017391270940481476;1;0;6;20;15;5;34;60;Frontera;Rural  ( <2500 Hab );Mujer;50 - 65
31;0.0018885578927936501;1;0;18;18;15;3;30;66;Frontera;Rural  ( <2500 Hab );Mujer;25 - 34
53;0.0009889886326054;1;0;18;17;12;5;25;60;Frontera;Urbano ( 2500-99,999 Hab);Hombre;50 - 65
60;0.0021136280186463173;1;0;15;7;6;1;23;45;Frontera;Urbano ( 2500-99,999 Hab);Hombre;50 - 65
61;0.00039868511735752243;1;0;15;20;15;5;36;71;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;50 - 65
24;0.0011385018539751403;1;0;6;17;12;5;33;56;Pacífico-Centro;Rural  ( <2500 Hab );Hombre;18 - 24
36;0.0016910270185987474;1;0;15;20;15;5;33;68;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;35 - 49
24;0.00019825785198194636;1;0;6;20;15;5;33;59;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;18 - 24
33;0.0003565420339760495;1;0;18;14;9;5;20;52;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;25 - 34
35;0.0002343597779658965;1;0;18;10;9;1;29;57;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;35 - 49
56;0.0014427342097574044;1;2;9;20;15;5;35;66;Pacífico-Centro;Rural  ( <2500 Hab );Hombre;50 - 65
45;0.0006012614368408025;1;0;0;20;15;5;35;55;Pacífico-Centro;Rural  ( <2500 Hab );Hombre;35 - 49
20;0.0004194428995049836;1;0;18;4;3;1;15;37;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;18 - 24
42;0.000303359998488018;1;0;15;17;12;5;22;54;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;35 - 49
21;0.0031876082218939617;1;0;18;9;6;3;24;51;Pacífico-Centro;Urbano ( 2500-99,999 Hab);Mujer;18 - 24
52;0.0006440638691630542;1;0;18;20;15;5;33;71;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;50 - 65
63;0.00022258617551900408;1;0;18;3;3;0;13;34;Pacífico-Centro;Rural  ( <2500 Hab );Mujer;50 - 65
48;0.0005508309632146469;1;0;18;7;6;1;18;43;Península;Rural  ( <2500 Hab );Mujer;35 - 49
39;0.000910416672015688;1;0;18;12;9;3;22;52;Península;Rural  ( <2500 Hab );Mujer;35 - 49
42;0.003033686964093338;1;0;18;17;12;5;22;57;Península;Rural  ( <2500 Hab );Hombre;35 - 49
22;0.0007044214929352149;1;0;18;15;12;3;28;61;Península;Rural  ( <2500 Hab );Mujer;18 - 24
50;0.0021458184285243188;1;0;3;20;15;5;33;56;Península;Rural  ( <2500 Hab );Mujer;50 - 65
26;0.001308056287563608;1;0;18;4;3;1;11;33;Península;Rural  ( <2500 Hab );Mujer;25 - 34
56;0.0016503813515217128;1;0;18;11;6;5;21;50;Península;Rural  ( <2500 Hab );Hombre;50 - 65
61;0.0016503813515217128;1;0;15;18;15;3;31;64;Península;Rural  ( <2500 Hab );Hombre;50 - 65
41;0.0027579564923620034;1;0;15;12;9;3;27;54;Península;Rural  ( <2500 Hab );Hombre;35 - 49
50;0.0007749209141414133;1;0;18;9;6;3;19;46;Península;Rural  ( <2500 Hab );Mujer;50 - 65
39;0.0027579564923620034;1;0;18;20;15;5;33;71;Península;Rural  ( <2500 Hab );Hombre;35 - 49
59;0.001449864213522581;1;0;9;20;15;5;32;61;Península;Rural  ( <2500 Hab );Hombre;50 - 65
42;0.003395504511904399;1;0;18;7;6;1;28;53;Península;Urbano ( 2500-99,999 Hab);Hombre;35 - 49
24;0.0019189487755781895;1;0;18;14;9;5;17;49;Península;Urbano ( 2500-99,999 Hab);Mujer;18 - 24
54;0.0011276946286284575;1;0;18;15;12;3;20;53;Península;Urbano ( 2500-99,999 Hab);Mujer;50 - 65
56;0.0005638473143142287;1;0;18;3;3;0;13;34;Península;Urbano ( 2500-99,999 Hab);Mujer;50 - 65
28;0.0006982106489558515;1;0;18;9;6;3;18;45;Península;Urbano ( 2500-99,999 Hab);Mujer;25 - 34
35;0.002470912656931099;1;2;18;4;3;1;15;39;Península;Urbano ( 2500-99,999 Hab);Hombre;35 - 49
60;0.0012255219048545587;1;0;9;17;12;5;29;55;Península;Urbano ( 2500-99,999 Hab);Hombre;50 - 65
46;0.0016717798460282925;1;0;18;7;6;1;15;40;Península;Rural  ( <2500 Hab );Mujer;35 - 49
47;0.0030056133491059866;1;0;3;20;15;5;38;61;Península;Rural  ( <2500 Hab );Mujer;35 - 49
25;0.005993685519577542;1;0;18;7;6;1;15;40;Península;Urbano ( 2500-99,999 Hab);Mujer;25 - 34
52;0.0007419711394197123;1;0;6;17;12;5;33;56;Frontera;Urbano ( 2500-99,999 Hab);Mujer;50 - 65
34;0.005400053843317374;1;0;0;15;12;3;29;44;Frontera;Rural  ( <2500 Hab );Hombre;25 - 34
36;0.0017282131183870182;1;0;15;20;15;5;29;64;Frontera;Rural  ( <2500 Hab );Mujer;35 - 49
49;0.0003610860335143976;1;0;6;20;15;5;37;63;Frontera;Rural  ( <2500 Hab );Mujer;35 - 49
61;0.0003317229934264142;1;0;18;4;3;1;14;36;Frontera;Rural  ( <2500 Hab );Mujer;50 - 65
43;0.0004651505287584094;1;0;0;20;15;5;39;59;Frontera;Rural  ( <2500 Hab );Mujer;35 - 49
35;0.0015105403768958586;1;0;12;9;6;3;22;43;Frontera;Rural  ( <2500 Hab );Mujer;35 - 49
18;0.0006439599742894769;1;0;3;11;6;5;17;31;Frontera;Rural  ( <2500 Hab );Mujer;18 - 24
35;0.0011062233728805753;1;0;18;17;12;5;22;57;Frontera;Rural  ( <2500 Hab );Mujer;35 - 49
36;0.0006098248585745792;1;0;6;17;12;5;32;55;Frontera;Rural  ( <2500 Hab );Hombre;35 - 49
54;0.0011494448577981306;1;0;15;17;12;5;30;62;Frontera;Rural  ( <2500 Hab );Hombre;50 - 65
49;0.0011973347721003424;1;0;6;20;15;5;32;58;Frontera;Rural  ( <2500 Hab );Hombre;35 - 49
62;0.00221477193828416;1;0;18;15;12;3;28;61;Frontera;Rural  ( <2500 Hab );Mujer;50 - 65
54;0.00044716155280418314;1;0;15;17;12;5;24;56;Frontera;Rural  ( <2500 Hab );Mujer;50 - 65
55;0.001120978280528136;1;0;18;12;9;3;28;58;Frontera;Rural  ( <2500 Hab );Hombre;50 - 65
51;0.0004572878170187248;1;0;15;20;15;5;34;69;Frontera;Rural  ( <2500 Hab );Mujer;50 - 65
47;0.0005427504354688458;1;0;15;18;15;3;27;60;Frontera;Rural  ( <2500 Hab );Mujer;35 - 49
37;0.00107064443211049;1;0;3;14;9;5;28;45;Frontera;Urbano ( 2500-99,999 Hab);Hombre;35 - 49
34;0.004728049578977294;1;0;0;17;12;5;32;49;Frontera;Rural  ( <2500 Hab );Hombre;25 - 34
47;0.0014358465439148619;1;0;9;17;12;5;26;52;Centro;Rural  ( <2500 Hab );Mujer;35 - 49
64;0.00523813580776092;1;0;18;9;6;3;31;58;Centro;Rural  ( <2500 Hab );Hombre;50 - 65
35;0.006341115253998138;1;0;0;20;15;5;39;59;Centro;Rural  ( <2500 Hab );Hombre;35 - 49
32;0.00279010056646733;1;0;18;12;9;3;24;54;Centro;Rural  ( <2500 Hab );Mujer;25 - 34
28;0.0028119407177094797;1;0;6;20;15;5;38;64;Centro;Rural  ( <2500 Hab );Mujer;25 - 34
40;0.009510498359493894;1;0;9;20;15;5;37;66;Centro;Rural  ( <2500 Hab );Hombre;35 - 49
36;0.002687470515745653;1;2;12;13;12;1;32;59;Centro;Rural  ( <2500 Hab );Mujer;35 - 49
20;0.0035007636367359526;1;0;18;20;15;5;27;65;Centro;Rural  ( <2500 Hab );Hombre;18 - 24
44;0.0027590846891811004;1;0;3;20;15;5;34;57;Centro;Rural  ( <2500 Hab );Mujer;35 - 49
52;0.003286972863532695;1;0;12;17;12;5;30;59;Centro;Rural  ( <2500 Hab );Mujer;50 - 65
28;0.0017278153237813227;1;0;18;14;9;5;25;57;Centro;Rural  ( <2500 Hab );Mujer;25 - 34
52;0.001860735403209578;1;0;12;15;12;3;28;55;Centro;Rural  ( <2500 Hab );Mujer;50 - 65
52;0.0008015564620153228;1;0;6;18;15;3;26;50;Centro;Rural  ( <2500 Hab );Mujer;50 - 65
19;0.0018462370244477773;1;0;0;20;15;5;36;56;Centro;Rural  ( <2500 Hab );Mujer;18 - 24
29;0.002901289897849465;1;0;15;18;15;3;29;62;Centro;Rural  ( <2500 Hab );Mujer;25 - 34
41;0.0012639149595543955;1;0;6;20;15;5;36;62;Centro;Rural  ( <2500 Hab );Mujer;35 - 49
22;0.0043458747950664905;1;0;0;20;15;5;36;56;Centro;Rural  ( <2500 Hab );Hombre;18 - 24
56;0.0004293829291481507;1;0;12;20;15;5;25;57;Centro;Rural  ( <2500 Hab );Mujer;50 - 65
56;0.001602015904303285;1;0;15;18;15;3;33;66;Centro;Rural  ( <2500 Hab );Mujer;50 - 65
64;0.0018425795966088847;1;0;18;15;12;3;27;60;Centro;Rural  ( <2500 Hab );Mujer;50 - 65
60;0.009075773621683958;1;0;18;17;12;5;34;69;Centro;Rural  ( <2500 Hab );Hombre;50 - 65
49;0.0053097908528313;1;0;18;9;6;3;15;42;Centro;Rural  ( <2500 Hab );Mujer;35 - 49
18;0.005100703893330395;1;0;6;17;12;5;19;42;Centro;Rural  ( <2500 Hab );Mujer;18 - 24
32;0.004107022356559889;1;0;18;12;9;3;19;49;Centro;Rural  ( <2500 Hab );Mujer;25 - 34
55;0.0025356818675170705;1;0;15;17;12;5;33;65;Centro;Rural  ( <2500 Hab );Mujer;50 - 65
24;0.006040217147054545;1;0;18;14;9;5;19;51;Centro;Rural  ( <2500 Hab );Mujer;18 - 24
18;0.00034388167632573124;1;0;6;11;6;5;27;44;Centro Norte;Rural  ( <2500 Hab );Hombre;18 - 24
34;0.000951800916975467;1;0;9;17;12;5;30;56;Centro Norte;Rural  ( <2500 Hab );Hombre;25 - 34
56;0.0005707272165738941;1;0;18;17;12;5;27;62;Centro Norte;Rural  ( <2500 Hab );Mujer;50 - 65
19;0.0006675350187499466;1;0;0;17;12;5;33;50;Centro Norte;Rural  ( <2500 Hab );Hombre;18 - 24
41;0.0003086747057027764;1;0;12;17;12;5;31;60;Centro Norte;Rural  ( <2500 Hab );Mujer;35 - 49
19;0.0022910667058288025;1;0;15;20;15;5;36;71;Centro Norte;Rural  ( <2500 Hab );Mujer;18 - 24
45;0.0002386799175033101;1;0;18;15;12;3;35;68;Centro Norte;Rural  ( <2500 Hab );Mujer;35 - 49
30;0.0008601461197260209;1;0;9;17;12;5;28;54;Centro Norte;Urbano ( 2500-99,999 Hab);Hombre;25 - 34
18;0.00014350391314806973;1;0;12;15;12;3;30;57;Centro Norte;Urbano ( 2500-99,999 Hab);Hombre;18 - 24
32;0.0012337395894390871;1;0;6;20;15;5;34;60;Centro Norte;Urbano ( 2500-99,999 Hab);Hombre;25 - 34
54;0.0005714961998306036;1;0;18;10;9;1;30;58;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;50 - 65
56;0.0001545431898577148;1;0;12;20;15;5;33;65;Centro Norte;Rural  ( <2500 Hab );Mujer;50 - 65
48;0.0003090863797154296;1;0;18;9;6;3;18;45;Centro Norte;Rural  ( <2500 Hab );Mujer;35 - 49
23;0.0010584616298359197;1;0;18;6;3;3;14;38;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;18 - 24
39;0.0004493304571811871;1;0;18;17;12;5;20;55;Centro Norte;Rural  ( <2500 Hab );Mujer;35 - 49
30;0.0004493304571811871;1;0;18;12;9;3;23;53;Centro Norte;Rural  ( <2500 Hab );Mujer;25 - 34
47;0.0001389865805151312;1;0;3;17;12;5;33;53;Centro Norte;Rural  ( <2500 Hab );Hombre;35 - 49
48;0.0001389865805151312;1;0;15;18;15;3;36;69;Centro Norte;Rural  ( <2500 Hab );Hombre;35 - 49
58;0.00037552592450760196;1;0;12;20;15;5;32;64;Centro Norte;Urbano ( 2500-99,999 Hab);Hombre;50 - 65
45;0.0002211393623010802;1;0;18;20;15;5;33;71;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;35 - 49
46;0.0003655823283820376;1;0;9;9;6;3;25;43;Centro Norte;Urbano ( 2500-99,999 Hab);Hombre;35 - 49
20;0.0006510389897326068;1;0;18;10;9;1;22;50;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;18 - 24
46;0.00045760483565995824;1;0;18;12;9;3;20;50;Centro Norte;Rural  ( <2500 Hab );Mujer;35 - 49
58;0.0009328521635992035;1;0;6;20;15;5;28;54;Centro Norte;Rural  ( <2500 Hab );Hombre;50 - 65
64;0.0007540550482038815;1;0;15;20;15;5;32;67;Centro Norte;Rural  ( <2500 Hab );Hombre;50 - 65
30;0.0017107477222899777;1;0;18;0;0;0;13;31;Centro Norte;Rural  ( <2500 Hab );Mujer;25 - 34
41;0.00016787561502576613;1;0;18;14;9;5;19;51;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;35 - 49
47;0.0003330758861286737;1;0;15;20;15;5;33;68;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;35 - 49
22;0.00033575123005153226;1;0;9;17;12;5;34;60;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;18 - 24
49;0.0006727682416774858;1;0;18;17;12;5;26;61;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;35 - 49
21;0.00022605735818769743;1;0;18;14;9;5;20;52;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;18 - 24
30;0.000281632921330188;1;0;18;4;3;1;24;46;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;25 - 34
18;0.0003643330254876366;1;0;3;20;15;5;36;59;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;18 - 24
48;0.00033947733027096024;1;0;18;7;6;1;20;45;Centro Norte;Rural  ( <2500 Hab );Mujer;35 - 49
40;0.002407932789957414;1;2;15;9;6;3;19;45;Centro Norte;Rural  ( <2500 Hab );Hombre;35 - 49
27;0.00039999593657100927;1;0;18;14;9;5;23;55;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;25 - 34
22;0.0005714227665300131;1;0;0;14;9;5;34;48;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;18 - 24
31;0.0010243664121904008;1;0;15;17;12;5;29;61;Centro Norte;Rural  ( <2500 Hab );Mujer;25 - 34
41;0.0015526225902047178;1;0;3;15;12;3;33;51;Centro Norte;Rural  ( <2500 Hab );Hombre;35 - 49
53;0.0005245207324021805;1;0;15;15;12;3;32;62;Centro Norte;Rural  ( <2500 Hab );Mujer;50 - 65
59;0.0006876049488010328;1;0;6;14;9;5;27;47;Centro Norte;Rural  ( <2500 Hab );Hombre;50 - 65
33;0.0006166737020233379;1;0;18;12;9;3;24;54;Centro Norte;Rural  ( <2500 Hab );Mujer;25 - 34
59;0.0006887445346408644;1;0;9;20;15;5;35;64;Centro Norte;Rural  ( <2500 Hab );Hombre;50 - 65
18;0.0010253739891232583;1;0;0;13;12;1;32;45;Centro Norte;Rural  ( <2500 Hab );Mujer;18 - 24
51;0.00043257488701995594;1;0;18;12;9;3;27;57;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;50 - 65
30;0.00022646583768272158;1;0;18;8;3;5;16;42;Centro Norte;Urbano ( 2500-99,999 Hab);Mujer;25 - 34
34;0.00255581276980785;1;0;6;14;9;5;32;52;Centro Norte;Rural  ( <2500 Hab );Hombre;25 - 34
60;0.0008657219346290166;1;0;18;12;9;3;25;55;Centro Norte;Rural  ( <2500 Hab );Hombre;50 - 65
44;0.00033915698284466006;1;0;18;11;6;5;11;40;Centro Norte;Rural  ( <2500 Hab );Mujer;35 - 49
36;0.0007902321426806485;1;0;12;6;3;3;19;37;Centro Norte;Rural  ( <2500 Hab );Mujer;35 - 49
18;0.0005477206307142231;1;0;15;7;6;1;18;40;Centro Norte;Rural  ( <2500 Hab );Mujer;18 - 24
55;0.0005036190364446084;1;0;12;17;12;5;35;64;Centro Norte;Rural  ( <2500 Hab );Hombre;50 - 65
