energ_kcal,carbohydrt,lipid_tot,protein,fiber_td,calcium,iron,ironhem,ironnohem,zinc,vit_c,thiamin,riboflavin,niacin,panto_acid,vit_b6,folic_acid,food_folate,folate_dfe,vit_b12,vit_a_rae,vit_e,vit_d_iu,vit_k,fa_sat,fa_mono,fa_poly,chole,carbohydrt_ratio,lipid_tot_ratio,protein_ratio,macronutrients_dqi,poly_ratio,mono_ratio,fatty_acids_dqi,balance_dqi,empty_calories_dqi,grasa_dqi,fa_sat_dqi,colesterol_dqi,moderation_dqi
7942.7484,1053.76841,316.7806,299.80705,130.91275000000002,7933.4173,67.57558,2.032,38.68308,53.62369,2350.58475,3.6221,7.695900000000001,65.3554,13.47085,6.969650000000001,416.82800000000003,1068.972,1777.378,7.774,3269.9455,15.57075,855.361,396.573,110.002815,87.38004000000001,47.40936000000001,436.31190000000004,0.5099705695379099,0.34493799425175575,0.14509143621033452,0,0.4309831525675048,0.7943436720233024,0,0,6,0,0,6,12
10188.5142,1552.4132,317.1529,356.7733,85.0633,10420.9,79.8163,2.114,39.7783,74.4738,1698.7665,5.14866,13.430489999999999,52.0416,19.64939,4.66723,571.1030000000001,942.1151,1912.925,18.1695,5801.64,16.81409,1630.925,134.3266,124.94735,73.31273,27.45059,1171.17955,0.5918959612528006,0.2720753864832057,0.13602865226399377,0,0.21969725648443122,0.5867489786698158,0,0,6,3,0,6,15
5907.336,664.7987999999999,285.8236,190.1808,47.036500000000004,3528.288,39.585699999999996,1.118,19.638199999999998,33.327,340.97749999999996,2.7746,5.6164000000000005,27.9614,10.2191,3.2459000000000002,752.754,526.207,1805.797,7.5615000000000006,1553.666,9.025,565.9590000000001,66.693,115.68674,84.36334,37.24881,1014.6576000000001,0.4437664222409083,0.42928411095061714,0.1269494668084746,0,0.3219799434230751,0.7292394962465015,0,0,6,0,0,6,12
11984.458475,1578.96235,451.0737,471.864675,172.39275,7778.027,85.9497,5.2282,66.925,68.392875,2040.9765,9.461825000000001,12.63475,98.80275,34.571475,11.00425,339.896,2404.7785,2982.737,17.8673,7965.1695,45.531,1006.206,984.8562499999999,168.8863275,165.5110025,78.111185,2838.91615,0.5150341784210637,0.33105053967588965,0.15391528190304676,0,0.46250745194278686,0.9800142199196084,0,0,6,0,0,0,6
5802.271275,870.090775,185.72362700000002,202.725924,122.760165,3337.85,43.15056,0.7647,36.26686,30.666847,1731.4219699999999,4.063814,6.921009000000001,43.770763,21.425475,6.838826,36.8205,1413.5638749999998,1476.22525,8.9255,2654.5738499999998,23.628128,647.1865,441.90799999999996,64.196774,77.4988608,34.31562,2032.7032625,0.5836813411605378,0.28032441248243195,0.1359942463570301,0,0.5345380750752367,1.207208025749082,0,0,6,3,3,6,18
18105.6295,2540.0516,676.24175,505.6452,204.2774,8805.7565,128.61475,6.317,105.82424999999999,92.72985,2131.04225,12.934750000000001,17.6437,134.86870000000002,40.249449999999996,16.42895,1364.885,2052.2717500000003,4372.703,22.38185,6295.79975,95.43254999999999,1382.5655,380.29325,268.048045,231.9114,116.41016,3617.0179250000006,0.556145766336452,0.33314292478763824,0.11071130887590967,0,0.4342884127358586,0.8651859408263917,0,0,6,0,0,0,6
11491.5273,1597.0625,443.0935,319.2737,121.222,4224.796,80.0941,3.865,70.6171,58.7119,401.4975,7.1007,9.0805,87.2141,21.8002,10.1554,976.573,1095.7404999999999,2755.8845,13.417,2359.765,24.7049,551.304,168.9335,160.04038,165.49006,79.2548,1129.04875,0.548197706235933,0.342210396138608,0.10959189762545887,0,0.4952175194785216,1.0340519061501854,0,0,0,0,0,6,6
11773.027,1387.112,592.3199999999999,237.06599999999997,51.745,7820.34,62.137,1.8360000000000003,45.501,92.807,507.20399999999995,8.142,11.05,104.696,38.99,9.448,1143.287,455.44599999999997,2398.909,25.508,3079.4719999999998,89.957,690.63,307.378,189.4751,198.1008,151.10809999999998,1058.0304,0.4691105340799717,0.4507155809906192,0.08017388492940913,0,0.7975090130576523,1.0455241876109314,0,0,6,0,0,6,12
11217.6267,1404.52015,449.3788,429.12255,181.27575000000002,6440.6195,77.7566,3.6140000000000003,57.3886,65.45465,2947.33225,7.9977,10.9346,78.963,33.73675,10.13095,295.884,1938.63,2441.609,18.7245,3862.8355,36.14605,1463.416,304.079,164.073725,172.3161,70.01881999999999,2983.3759,0.49372444630362305,0.3554280963671612,0.1508474573292158,0,0.4267521810698209,1.0502358010095767,0,0,6,0,0,0,6
34383.647099999995,5486.4953,239.9494,229.1643,189.40969999999996,7994.218,165.222,0.5952,143.7588,76.11880000000001,1446.6840000000002,6.3568,10.235100000000001,66.923,32.2902,7.740600000000001,386.084,1665.2799999999997,2321.594,14.6264,3882.942,38.7891,644.792,173.111,81.68155,90.15480000000001,38.25645,2395.4202,0.8770610142208615,0.08630520366668248,0.03663378211245597,0,0.4683609701334022,1.1037351764260106,0,0,0,6,6,3,15
8392.466,849.6712,419.9859,298.2506,56.5065,2850.771,48.378,4.226000000000001,42.997,38.5189,428.06,4.8042,5.5897,83.845,16.1263,7.1229,294.43,658.45,1159.067,13.8732,1517.5715,25.0635,967.0630000000001,155.695,151.02296,164.43149,70.39163,1590.4621,0.40597985061398895,0.45151357268489134,0.14250657670111988,0,0.4660988633781248,1.088784711940489,0,0,0,0,0,6,6
15035.2007,1841.2136,664.1965,490.6273,166.6585,7723.628,101.5225,7.428000000000001,76.744,74.149,1074.4270000000001,9.1945,12.2025,100.1969,29.5382,8.5886,704.2,2147.8005,3344.8450000000003,22.966500000000003,4631.394,49.305099999999996,2326.201,711.144,214.37233,266.21504,114.10927000000001,1680.24695,0.4812016225590108,0.39057281315461495,0.12822556428637424,0,0.5322947695721738,1.2418348953897174,0,0,6,0,0,6,12
12987.177525,1830.23405,460.144525,445.464225,167.162125,5521.77275,81.9029,5.3992,63.945949999999996,72.27,1042.148875,7.89845,10.310475,86.40915,26.803350000000002,12.914275,386.334,2022.666,2679.3935,28.5094,3140.85675,30.451700000000002,1993.3245,565.88275,172.6153775,164.22556500000002,59.004985,1156.99605,0.552769883446518,0.3126903795549032,0.13453973699857866,0,0.34182924983030555,0.9513959148859725,0,0,6,0,0,6,12
13901.8692,1823.5929,557.2745,536.1356000000001,147.526,7710.188,106.3745,7.526,57.2175,95.8693,638.673,7.635,16.587600000000002,89.1849,40.3831,14.8874,735.3720000000001,1899.4769999999999,3149.451,36.171,7413.76,31.1734,1861.748,783.772,185.64314000000002,188.13169,90.10298,4309.4339,0.5046476797403584,0.34698609961565635,0.14836622064398525,0,0.4853558283920429,1.0134050199754214,0,0,6,0,0,0,6
16154.8773,2165.1007,662.96065,445.30295,158.54985,7915.14475,96.6863,6.202000000000001,79.3158,133.89375,1476.8365,13.59905,19.0364,165.03035,64.7508,18.5672,976.7504,1578.426,3238.9428,47.887150000000005,4907.3640000000005,99.21504999999999,1463.335,534.1225000000001,255.60134,214.499525,126.625345,1696.0674999999999,0.5278074922317557,0.36363671019129873,0.10855579757694545,0,0.4954017259846916,0.8391956200229623,0,0,6,0,0,6,12
16617.4109,2130.4199,689.8947,509.83990000000006,97.8961,9931.7022,89.3608,12.615200000000002,60.1166,78.8564,931.5192,8.443,13.1102,86.8142,25.3628,8.171800000000001,1165.5786,1424.7128,3406.0953999999997,31.2698,5282.8604000000005,44.0133,1963.2808,591.9844,265.07142,227.23139,138.29006,2635.39024,0.5081474719443242,0.3702455827387704,0.12160694531690543,0,0.5217086776084725,0.8572459075369198,0,0,6,0,0,3,9
11487.1535,1097.22605,557.3255,528.41255,101.93950000000001,4445.264,68.80005,7.166,50.6398,60.1442,273.022,4.4041500000000005,9.3387,116.96405000000001,25.133,8.4742,237.14,1216.036,1619.201,20.8272,6074.784000000001,41.1325,1671.303,561.1370000000001,172.362625,214.07811,111.345595,4157.907,0.381031413344251,0.43546785701545326,0.18350072964029582,0,0.6459961665123167,1.2420216389719059,0,0,6,0,0,0,6
18731.6915,2094.64958,892.2173,747.7239000000001,307.5769,10029.5785,154.64812,9.392000000000001,113.23712,115.80094,3731.3288,13.2929,22.61096,185.00804,57.255340000000004,30.47184,2103.5885,4273.983,7850.0685,63.684400000000004,11613.872,153.85024,2485.051,3696.1538,267.978744,363.699296,159.227774,4084.1833,0.4318987643526765,0.4139269854192905,0.15417425022803302,0,0.5941806115786556,1.3571945691334384,0,0,6,0,0,0,6
16938.009,2268.9784999999997,647.1201000000001,390.5863,217.81300000000002,5022.086,82.3596,10.4228,63.756800000000005,58.643,653.085,8.5954,10.1337,113.7488,47.2962,9.416400000000001,873.014,2529.944,4014.178,11.7089,2170.3360000000002,55.9037,488.03850000000006,522.719,190.08503,313.14187,93.01308,2361.344,0.551313722403293,0.35378207864870925,0.09490419894799768,0,0.48932354115418775,1.6473778603186164,0,0,0,0,0,3,3
9825.7481,1609.473,336.5462,179.8113,130.37650000000002,3096.8195,51.0807,0.8119999999999999,41.6067,38.418,1080.2745,5.3427999999999995,6.940650000000001,46.202,20.99165,9.16115,344.704,1146.42,1732.459,4.853,2061.217,22.41385,430.56,449.71099999999996,147.97326,135.54215,35.8352,1019.8334000000001,0.6320300905561753,0.29735912428494143,0.07061078515888343,0,0.24217348458768834,0.9159908351008823,0,0,0,0,0,6,6
